prompt,expected_skill,should_activate,case_type,notes
请在属灵星球仓库实现AI Companion Boundary，复用现有路由和安全门。,christian-ai-companion-boundary,true,explicit-domain,应自动路由到焦点技能
Use $christian-ai-companion-boundary to inspect and implement the repository changes with tests.,christian-ai-companion-boundary,true,explicit-mention,显式调用
审查当前 AI Companion Boundary 的Schema、权限、隐私和E2E测试，不要新建平行应用。,christian-ai-companion-boundary,true,review,实现审查
请解释一个普通圣经概念，不涉及属灵星球产品或代码。,christian-ai-companion-boundary,false,negative,纯神学问答不应激活仓库技能
请在属灵星球仓库实现Virtual Intimacy Discernment，复用现有路由和安全门。,christian-virtual-intimacy-discernment,true,explicit-domain,应自动路由到焦点技能
Use $christian-virtual-intimacy-discernment to inspect and implement the repository changes with tests.,christian-virtual-intimacy-discernment,true,explicit-mention,显式调用
审查当前 Virtual Intimacy Discernment 的Schema、权限、隐私和E2E测试，不要新建平行应用。,christian-virtual-intimacy-discernment,true,review,实现审查
请解释一个普通圣经概念，不涉及属灵星球产品或代码。,christian-virtual-intimacy-discernment,false,negative,纯神学问答不应激活仓库技能
请在属灵星球仓库实现Consent-Based Accountability Support，复用现有路由和安全门。,christian-accountability-support-plan,true,explicit-domain,应自动路由到焦点技能
Use $christian-accountability-support-plan to inspect and implement the repository changes with tests.,christian-accountability-support-plan,true,explicit-mention,显式调用
审查当前 Consent-Based Accountability Support 的Schema、权限、隐私和E2E测试，不要新建平行应用。,christian-accountability-support-plan,true,review,实现审查
请解释一个普通圣经概念，不涉及属灵星球产品或代码。,christian-accountability-support-plan,false,negative,纯神学问答不应激活仓库技能
请在属灵星球仓库实现Marriage and Singleness Course Adapter，复用现有路由和安全门。,christian-marriage-singleness-adapter,true,explicit-domain,应自动路由到焦点技能
Use $christian-marriage-singleness-adapter to inspect and implement the repository changes with tests.,christian-marriage-singleness-adapter,true,explicit-mention,显式调用
审查当前 Marriage and Singleness Course Adapter 的Schema、权限、隐私和E2E测试，不要新建平行应用。,christian-marriage-singleness-adapter,true,review,实现审查
请解释一个普通圣经概念，不涉及属灵星球产品或代码。,christian-marriage-singleness-adapter,false,negative,纯神学问答不应激活仓库技能
请在属灵星球仓库实现Identity and Intimacy Course Integrator，复用现有路由和安全门。,identity-intimacy-course-integrator,true,explicit-domain,应自动路由到焦点技能
Use $identity-intimacy-course-integrator to inspect and implement the repository changes with tests.,identity-intimacy-course-integrator,true,explicit-mention,显式调用
审查当前 Identity and Intimacy Course Integrator 的Schema、权限、隐私和E2E测试，不要新建平行应用。,identity-intimacy-course-integrator,true,review,实现审查
请解释一个普通圣经概念，不涉及属灵星球产品或代码。,identity-intimacy-course-integrator,false,negative,纯神学问答不应激活仓库技能
在属灵星球主日学模块端到端实现 Batch 04，包含数据、页面、迁移、权限、内容、测试与报告。,spiritual-planet-identity-intimacy-recovery-orchestrator,true,orchestrator,端到端请求
帮我写一段个人祷告，不要修改任何项目。,spiritual-planet-identity-intimacy-recovery-orchestrator,false,negative,非产品任务
