prompt,expected_skill,should_activate,case_type,notes
请在属灵星球仓库实现Scenario Benchmark and Golden Runs，复用现有路由和安全门。,christian-scenario-benchmark,true,explicit-domain,应自动路由到焦点技能
Use $christian-scenario-benchmark to inspect and implement the repository changes with tests.,christian-scenario-benchmark,true,explicit-mention,显式调用
审查当前 Scenario Benchmark and Golden Runs 的Schema、权限、隐私和E2E测试，不要新建平行应用。,christian-scenario-benchmark,true,review,实现审查
请解释一个普通圣经概念，不涉及属灵星球产品或代码。,christian-scenario-benchmark,false,negative,纯神学问答不应激活仓库技能
请在属灵星球仓库实现Scenario Runtime UI Integrator，复用现有路由和安全门。,scenario-runtime-course-integrator,true,explicit-domain,应自动路由到焦点技能
Use $scenario-runtime-course-integrator to inspect and implement the repository changes with tests.,scenario-runtime-course-integrator,true,explicit-mention,显式调用
审查当前 Scenario Runtime UI Integrator 的Schema、权限、隐私和E2E测试，不要新建平行应用。,scenario-runtime-course-integrator,true,review,实现审查
请解释一个普通圣经概念，不涉及属灵星球产品或代码。,scenario-runtime-course-integrator,false,negative,纯神学问答不应激活仓库技能
在属灵星球主日学模块端到端实现 Batch 10，包含数据、页面、迁移、权限、内容、测试与报告。,spiritual-planet-scenario-runtime-orchestrator,true,orchestrator,端到端请求
帮我写一段个人祷告，不要修改任何项目。,spiritual-planet-scenario-runtime-orchestrator,false,negative,非产品任务
